2016-08-18 12:17:31,549 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,550 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,560 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,561 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,564 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 35 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,565 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 35 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,566 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,568 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,569 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,570 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,571 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 35 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,572 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 35 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,572 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,574 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,575 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,576 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,577 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 35 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
